День|Время|20.Б01-мкн|20.Б02-мкн|20.Б03-мкн|20.Б04-мкн|20.Б05-мкн|20.Б06-мкн|19.Б01-мкн|19.Б02-мкн|19.Б03-мкн|19.Б05-мкн|18.Б01-мкн|18.Б02-мкн|18.Б03-мкн|17.Б01-мкн|17.Б02-мкн
0|09:30 - 11:05|||||||Дифференциальные уравнения и динамические системы, практика, С.Б. Тихомиров 101||Дифференциальная геометрия, практика, Н.С. Калинин TEAMS|Языки и компиляторы ,  лекция,  Д.А. Березун    А.Ю. Авдюшенко |Мат.логика, практика, С.О.Сперанский, 1 раз в 2 недели с 07.09. / мат.физика, практика, Р.В.Романов, 1 раз в 2 недели с 14.09. 201|Мат.физика, практика, Р.В.Романов, 1 раз в 2 недели с 07.09. 202|Мат.логика, практика, Д.О.Соколов, 1 раз.в 2 недели, с 07.09. / Мат.физика, практика,  П.Ходунов, 1 раз в 2 недели с 14.09.2020. 104пилюгин|Martingale theory, лекция, Ю.А.Давыдов 301|Martingale theory, лекция, Ю.А.Давыдов 301
0|09:00 - 10:35||||||Алгебра, практика, М.В.Карев, 1,5 пары с 09-00 TEAMS|||||||||
0|11:15 - 12:50|Основы наивной теории множеств, практика, А.В.Тискин, до 26.10.2020. TEAMS||Дискретная математика, практика, А.С.Охотин (А.А.Уланова), до 26.10.2020. / Геометрия и топология, практика, Н.Н.Косовский с 09.11.2020. TEAMS|||| Теоретическая информатика, практика,  Е.А. Арсеньева с 09.11.2020 TEAMS|Дифференциальная геометрия, практика, Н.Д. Лебедева  102|Алгебра, практика, М.В. Бондарко  103|Языки и компиляторы ч.1, практика, Д.А. Березун  А.Ю. Авдюшенко|Symplectic geometry and topology, лекция, Н.С.Калинин;   TEAMS                                                              Введение в коммуникационную сложность, лекция, Д.О.Соколов,  канал 104 |Symplectic geometry and topology, лекция, Н.С.Калинин;   TEAMS                                                              Введение в коммуникационную сложность, лекция, Д.О.Соколов,  канал 104 |Symplectic geometry and topology, лекция, Н.С.Калинин;   TEAMS                                                              Введение в коммуникационную сложность, лекция, Д.О.Соколов,  канал 104 |Спектральная теория дифференциальных операторов. Часть 1, лекция, Н.Д.Филонов;    202  Symplectic geometry and topology, лекция, Н.С.Калинин; TEAMS                                                                                                                 Введение в коммуникационную сложность, лекция, Д.О.Соколов, канал 104|Спектральная теория дифференциальных операторов. Часть 1, лекция, Н.Д.Филонов;    202  Symplectic geometry and topology, лекция, Н.С.Калинин; TEAMS                                                                                                                 Введение в коммуникационную сложность, лекция, Д.О.Соколов, канал 104
0|11:35 - 13:10|||||Алгебра, практика, М.В.Карев, 1,5 пары -с 11-35 до 13:50, TEAMS|Мат.анализ, практика,  Ю. И. Любарский, 1,5 пары - с 11:35 ZOOM 303|||||||||
0|10:30 - 12:05||||Мат.анализ, практика, Ю.С.Белов, 1,5 пары - с 10-30,  компенсировать 1,5 пары|||||||||||
0|10:20 - 11:55||Алгебра, практика, А.В.Щеголев, 1,5 пары - с 10-20 TEAMS|||||||||||||
0|13:40 - 15:15|02.11.2020. пара будет! Алгебра, практика, Ю.В.Волков, 1,5 пары - до 16-10 TEAMS, компенсировать 1,5 пары|Основы наивной теории множеств, практика, А.В.Тискин, до 26.10.2020.,  14.09 - 20.10 - по 1 паре TEAMS|Мат.основы алгоритмов, практика, И.С.Казменко TEAMS|Дискретная математика, практика, А.С.Охотин (А.А. Уланова), до 26.10.2020. / Геометрия и топология, практика, Н.Н.Косовский с 09.11.2020. TEAMS|||Дифференциальная геометрия, практика, Е.А. Фоминых, TEAMS  |Теоретическая информатика, практика,  Е.А. Арсеньева с 09.11.2020   TEAMS |Дифференциальные уравнения и динамические системы, практика, С.Б. Тихомиров (Г.В. Монаков)  103|Введение в динамику, практика, С.Б. Тихомиров (А.С.Тарасов)  104|02.11.2020. вместо Мат.логика, лекция, С.О.Сперанский будет                                         Функциональный анализ, лекция, В.В.Пеллер 201|02.11.2020. вместо Мат.логика, лекция, С.О.Сперанский будет                                         Функциональный анализ, лекция, В.В.Пеллер 201|02.11.2020. вместо Мат.логика, лекция, С.О.Сперанский будет                                         Функциональный анализ, лекция, В.В.Пеллер 201|Введение в случайные матрицы, семинар, П.П.Никитин 202|Введение в случайные матрицы, семинар, П.П.Никитин 202
0|14:00 - 15:35|||||Введение в ООП,практика, Максимов с 14:00 до 15:30 303||||||||||
0|15:25 - 17:00||С 09.11.2020. - по 2 пары до 18-45, Мат.анализ, практика, А.С.Кузнецов, 1,5 пары, до 17-55  компенсировать 2 практики, с 12.10.2020. - в ZOOM 102 (Ю.И.Любарский)|||||Алгебра, лекция,  А.В. Степанов  101|Алгебра, лекция,  А.В. Степанов  101|Алгебра, лекция,  А.В. Степанов  101||Введение в коммуникационную сложность, лекция, Д.О.Соколов;  201                                                                                                                                 Intersection Theory, семинар, В.А.Петров 202                                                                                                              Введение в теорию гомологий, лекция, Н.С.Калинин; TEAMS                                                              Asymptotic Sieve for Primes, семинар, А.А.Седунова  301                                                                                                                                                                                                  |Введение в коммуникационную сложность, лекция, Д.О.Соколов;  201                                                                                                                                 Intersection Theory, семинар, В.А.Петров 202                                                                                                              Введение в теорию гомологий, лекция, Н.С.Калинин; TEAMS                                                              Asymptotic Sieve for Primes, семинар, А.А.Седунова  301                                                                                                                                                                                                  |Введение в коммуникационную сложность, лекция, Д.О.Соколов;  201                                                                                                                                 Intersection Theory, семинар, В.А.Петров 202                                                                                                              Введение в теорию гомологий, лекция, Н.С.Калинин; TEAMS                                                              Asymptotic Sieve for Primes, семинар, А.А.Седунова  301                                                                                                                                                                                                  |Intersection Theory, семинар, В.А.Петров 202                                                                                Введение в теорию гомологий, лекция, Н.С.Калинин; TEAMS Asymptotic Sieve for Primes, семинар, А.А.Седунова 301|Intersection Theory, семинар, В.А.Петров 202                                                                                Введение в теорию гомологий, лекция, Н.С.Калинин; TEAMS Asymptotic Sieve for Primes, семинар, А.А.Седунова 301
0|15:40 - 17:15||||||Введение в ООП,практика, Максимов с 15:40 303|||||||||
